x,y,z_srtm
453470.52,9257694.67,0.00
453639.32,9257641.18,0.00
453806.80,9257589.25,0.00
453972.53,9257534.96,0.00
454137.94,9257478.88,0.00
454304.03,9257424.62,0.00
454470.43,9257370.01,0.00
454638.98,9257314.60,0.00
454810.29,9257259.41,0.00
454980.20,9257201.72,0.00
455155.08,9257139.32,0.00
455326.15,9257079.91,0.00
454260.04,9257926.74,0.00
454440.26,9257868.22,0.00
454619.30,9257810.16,0.00
454796.54,9257753.88,0.00
454970.55,9257696.44,0.00
455141.87,9257638.17,0.00
455310.82,9257580.52,0.00
455477.85,9257525.10,0.00
455648.03,9257469.61,0.00
455820.96,9257413.87,0.00
454255.44,9258439.79,0.00
454443.88,9258358.39,0.00
454635.55,9258284.10,0.00
454830.28,9258216.63,0.00
455025.20,9258152.20,0.00
455219.81,9258089.93,0.00
455415.11,9258028.72,0.00
455612.92,9257966.55,0.00
455808.47,9257904.52,0.00
456005.42,9257839.77,0.00
456202.09,9257774.04,0.00
455177.34,9258596.78,0.00
455357.01,9258538.06,0.00
455535.25,9258479.08,0.00
455711.15,9258421.42,0.00
455886.31,9258365.32,0.00
456060.50,9258309.52,0.00
456235.35,9258252.79,0.00
456412.16,9258193.95,0.00
455309.26,9259043.32,0.00
455490.95,9258981.01,0.00
455672.63,9258920.58,0.00
455856.15,9258860.55,0.00
456042.28,9258800.03,0.00
456236.09,9258738.33,0.00
456419.53,9258678.67,0.00
456609.17,9258615.08,0.00
456800.59,9258550.58,0.00
456126.60,9259232.02,0.00
456312.58,9259168.66,0.00
456499.87,9259108.25,0.00
456689.35,9259050.01,0.00
456881.21,9258993.81,0.00
457074.51,9258939.03,0.00
457266.82,9258881.55,0.00
457458.49,9258822.17,0.00
457647.38,9258764.19,0.00
456201.30,9259734.34,0.00
456390.20,9259671.21,0.00
456577.36,9259607.11,0.00
456764.96,9259541.82,0.00
456955.89,9259474.32,0.00
457145.21,9259410.17,0.00
457334.86,9259345.55,0.00
457522.38,9259279.93,0.00
458083.41,9259089.08,0.00
458268.65,9259029.73,0.00
458454.57,9258970.40,0.00
458640.94,9258910.96,0.00
458829.34,9258848.73,0.00
459020.51,9258785.95,0.00
456166.77,9260260.16,0.00
456344.16,9260187.30,0.00
456523.13,9260116.00,0.00
456704.85,9260048.16,0.00
456890.56,9259983.32,0.00
457078.36,9259921.29,0.00
457265.80,9259856.59,0.00
457452.98,9259791.24,0.00
457640.33,9259725.37,0.00
457829.81,9259662.01,0.00
458588.77,9259406.57,0.00
458778.41,9259343.83,0.00
458968.51,9259282.02,0.00
459351.00,9259159.51,0.00
456580.74,9260533.07,0.00
456778.57,9260470.23,0.00
456974.51,9260409.30,0.00
457169.77,9260349.86,0.00
457365.27,9260291.05,0.00
457560.66,9260231.43,0.00
457756.44,9260169.40,0.00
457948.37,9260106.96,0.00
458900.20,9259790.53,0.00
459089.37,9259729.06,0.00
459279.10,9259666.51,0.00
459470.08,9259606.20,0.00
460238.43,9259364.51,0.00
458085.71,9260541.20,0.00
458245.70,9260490.99,0.00
458404.31,9260442.85,0.00
459047.60,9260238.43,0.00
459371.18,9260128.49,0.00
459534.00,9260075.36,0.00
447851.10,9252220.15,0.00
448014.20,9252303.49,0.00
448175.35,9252390.57,0.00
448335.93,9252479.59,0.00
448495.79,9252569.44,0.00
448655.82,9252658.28,0.00
448817.37,9252743.89,0.00
448979.89,9252827.90,0.00
449143.40,9252912.95,0.00
449307.66,9252999.44,0.00
450446.37,9253593.87,0.00
450607.66,9253680.43,0.00
450768.65,9253766.26,0.00
450929.81,9253852.10,0.00
451091.84,9253935.04,0.00
451253.64,9254019.49,0.00
515264.69,9265027.73,0.00
515578.59,9264826.63,0.00
515732.12,9264727.58,0.00
515906.79,9264608.52,0.00
516059.35,9264512.40,0.00
516212.43,9264420.17,0.00
514117.11,9266288.08,0.00
514292.56,9266174.76,0.00
514469.77,9266061.11,0.00
514644.63,9265945.54,0.00
514820.33,9265833.99,0.00
514996.37,9265722.86,0.00
515170.66,9265612.33,0.00
515346.69,9265503.70,0.00
515523.68,9265395.98,0.00
515701.08,9265286.98,0.00
515877.72,9265176.21,0.00
516053.80,9265063.78,0.00
516231.35,9264952.99,0.00
516411.05,9264843.91,0.00
516592.57,9264735.28,0.00
516774.18,9264625.69,0.00
516953.82,9264515.50,0.00
517131.00,9264405.72,0.00
517306.24,9264296.50,0.00
517480.49,9264186.84,0.00
517653.51,9264077.26,0.00
517824.36,9263968.53,0.00
513454.58,9267236.50,0.00
513624.16,9267130.88,0.00
513792.79,9267025.76,0.00
513961.47,9266920.06,0.00
514130.00,9266812.23,0.00
514299.49,9266704.41,0.00
514470.31,9266598.48,0.00
514641.88,9266494.10,0.00
514812.24,9266389.83,0.00
514982.11,9266287.13,0.00
515152.99,9266184.74,0.00
515318.22,9266083.29,0.00
